trial_no,program,test,threads,average_time
1,parallel,-1,2,50,109264446
2,parallel,12,2,50,97926116
3,parallel,12,2,100,102287464
4,parallel,4,2,50,87528420
5,parallel,4,2,100,92299210
6,parallel,2,2,50,54307485
7,parallel,2,2,100,65416548
8,parallel,12,4,50,79505682
9,parallel,12,4,100,85811115
10,parallel,4,4,50,89514388
11,parallel,4,4,100,82567182
12,parallel,2,4,100,67270204
13,parallel,2,4,50,96495749
14,parallel,2,2,50,58682974
